Operateur;X;Y;2G;3G;4G
20810;-4.561442054388971;48.03169593333868;1;1;0
20801;-4.618221914669324;48.447492867548114;1;1;1
20820;-4.613981815891421;48.44505430483183;1;1;1
20801;-4.6027639002634135;48.3779786785026;1;1;1
20815;-4.611680060889602;48.443331482898024;0;1;1
20810;-4.602406468752987;48.388802782625405;1;1;1
20815;-4.602364835123195;48.388796422152865;0;1;1
20820;-4.585282151040923;48.273059236602634;1;1;1
20801;-4.585258393455487;48.272988451820424;1;1;0
20810;-4.583616783624813;48.27127717624493;1;1;0
20815;-4.583624847691648;48.271520713809245;0;1;0
20810;-4.617207605660656;48.56567431839331;1;1;0
20820;-4.617211521855367;48.565701179261445;1;1;0
20815;-4.60618383992639;48.52502626895665;0;1;0
20820;-4.606140795218547;48.52501095644511;1;1;1
20801;-4.552764714222969;48.170030818162516;1;1;0
20810;-4.575624110166334;48.377850802025215;1;1;1
20801;-4.575550428488786;48.377810334171066;1;1;0
20801;-4.522602806079979;48.02008937364414;1;1;1
20810;-4.522532807812284;48.01997634128335;0;1;0
20820;-4.522518179148272;48.019968239107655;1;1;0
20815;-4.522495301495338;48.019996825689944;0;1;1
20801;-4.571038765387795;48.360655509622376;1;1;1
20810;-4.582035125829574;48.438989673893374;1;1;0
20810;-4.563773229520789;48.3607775008072;1;1;1
20820;-4.5636184231977515;48.3608326047253;1;1;1
20820;-4.571662650275293;48.429721318224836;1;1;1
20801;-4.571569238752389;48.429826714764424;1;1;1
20820;-4.570283552877866;48.46444240064206;1;1;1
20801;-4.502626746099688;48.01615232563416;1;1;1
20815;-4.555694014505381;48.42738035278003;0;1;1
20801;-4.555672269040567;48.427417892912956;1;1;1
20801;-4.544591787908404;48.37376264046616;1;1;0
20801;-4.5582092840146435;48.469759863013856;1;1;0
20801;-4.546136591209191;48.41834725798996;1;1;0
20810;-4.54595305113964;48.4180155357867;1;1;0
20801;-4.517234539206713;48.227081040339385;0;1;1
20801;-4.5676013914108236;48.587745750444896;1;1;0
20820;-4.567582704869485;48.58771079519385;1;0;0
20801;-4.5375535236320665;48.38312320383722;0;1;1
20810;-4.481312953454199;48.01796517985606;1;1;0
20801;-4.5323231654843354;48.37807013194963;1;1;0
20810;-4.532252089377236;48.37804754890805;1;1;1
20801;-4.481039992416079;48.03278024592943;1;1;0
20820;-4.531236863235557;48.38524308984328;1;1;1
20820;-4.480932534714081;48.032687660776155;1;1;0
20815;-4.480835835424113;48.03276613953803;0;1;1
20810;-4.52797241096049;48.37138825262462;1;1;1
20820;-4.526637973506537;48.37986034675274;1;1;1
20810;-4.528648078950406;48.40888791553601;1;1;1
20801;-4.52498741942174;48.38461989654118;1;1;1
20820;-4.525373108088293;48.388725573887925;0;1;0
20820;-4.5247862253237905;48.38681079565489;1;1;1
20815;-4.52341732041393;48.386916016621235;0;1;1
20810;-4.5233257693397775;48.38693991963878;1;1;1
20801;-4.521543411327383;48.39731107537639;1;1;1
20810;-4.494783642037218;48.24723878330104;1;1;0
20815;-4.494773418008552;48.247356931299215;0;1;1
20801;-4.492841196839449;48.245193091075;1;1;1
20810;-4.526737393838211;48.48197690512844;1;0;0
20820;-4.511953633143844;48.3830450456609;1;1;1
20810;-4.511786544875051;48.38310989157333;1;1;1
20815;-4.51171033916253;48.383051472113415;0;1;1
20820;-4.514990648500651;48.40916023576804;1;1;1
20815;-4.5138417666978965;48.40805838062688;0;1;1
20801;-4.513668852908639;48.40817781789183;1;1;1
20801;-4.509938063552964;48.38280260183033;1;1;1
20810;-4.536117398398793;48.57288742186819;1;1;1
20801;-4.507464506873177;48.38817441076518;0;1;1
20810;-4.5145250784187745;48.43942875458598;1;1;1
20801;-4.514481518660304;48.439503819051964;1;1;0
20820;-4.514466774446512;48.4394957182647;1;1;1
20815;-4.5144533149856905;48.43949657310938;0;1;1
20820;-4.506388766158499;48.391939064757665;1;1;1
20810;-4.504362740503496;48.38252412829147;1;1;1
20801;-4.50734394168984;48.4044856301535;1;1;1
20810;-4.507315757784211;48.40447838232093;1;1;1
20801;-4.5053571875437965;48.3922214681799;1;1;1
20810;-4.505181578814008;48.39118427300698;1;1;1
20815;-4.505031749498211;48.391275123364764;0;1;1
20801;-4.503052612646769;48.38692722850721;1;0;0
20820;-4.533896598024672;48.610836580584284;1;1;0
20801;-4.527301836037753;48.565856514256524;0;1;0
20801;-4.48508198907465;48.271390518443276;0;0;0
20820;-4.500871690974355;48.38590886306932;1;1;1
20820;-4.480280975156687;48.24526783809599;1;1;1
20801;-4.499219740462875;48.385552782006116;1;1;1
20801;-4.501874552299347;48.41179151431417;1;1;0
20820;-4.499720467096576;48.40224017079845;1;1;1
20815;-4.499734561739409;48.40233868731817;0;1;1
20810;-4.5099209905196185;48.4904909651992;1;1;0
20820;-4.509725327252849;48.49054855611781;1;1;0
20810;-4.4973800982038785;48.40979013483689;1;1;1
20815;-4.497324367477255;48.40987500365049;0;1;1
20801;-4.520908418291879;48.57875935670068;1;1;1
20815;-4.494223731454606;48.393696022008776;0;1;1
20801;-4.492676759601619;48.38486519582837;1;1;0
20810;-4.493742160970725;48.393744626212865;1;1;1
20820;-4.434237982774352;47.98924774530241;1;1;0
20815;-4.43422463637038;47.98924859131324;0;1;1
20801;-4.492800520441366;48.40377243150751;1;1;1
20810;-4.433995226965833;47.98924505463472;1;1;0
20810;-4.492700613873023;48.40364320424708;1;1;1
20810;-4.490719312954707;48.390727976193034;1;1;1
20801;-4.4888822313289225;48.390311180816184;1;1;1
20820;-4.489722726266985;48.39638520223432;1;1;1
20801;-4.4895696713075415;48.39635875009134;1;1;1
20820;-4.488244773876936;48.38850795914128;0;0;1
20820;-4.4873906740371226;48.391363622069676;1;1;1
20810;-4.488211202088822;48.397203936008914;1;1;1
20810;-4.490505179401509;48.41629879902524;1;1;1
20810;-4.485609618866289;48.38677704838359;1;1;0
20801;-4.427899109949993;47.98620547239943;1;1;0
20820;-4.4850521122466445;48.39133098450338;1;0;0
20801;-4.505615703254542;48.53838679178292;1;1;0
20815;-4.489262935608706;48.42442048257631;0;1;0
20801;-4.489254599943669;48.424457158610224;1;1;1
20801;-4.499959857430783;48.49962569001486;1;1;0
20810;-4.48376487464849;48.39181916406598;1;1;1
20801;-4.483273965674725;48.3885697284537;1;1;1
20820;-4.482724638822733;48.38833338857438;1;1;1
20801;-4.483078058249085;48.393091706185025;1;1;1
20815;-4.483682014687352;48.39760822064836;0;1;1
20810;-4.483462940379327;48.39778475783191;1;1;1
20820;-4.482667396273109;48.393732231656045;1;0;0
20801;-4.482643432979407;48.39917413146819;1;1;1
20815;-4.506939899982534;48.57139398195525;0;1;1
20820;-4.5066841182761905;48.57113004583864;1;1;0
20801;-4.4812762850896455;48.396441060790735;0;1;1
20810;-4.48123277262853;48.396326331278;1;1;1
20820;-4.483907496243402;48.41705990386974;1;1;1
20820;-4.48047995068369;48.39342785368564;1;0;1
20820;-4.480342429809906;48.39293951129786;1;1;1
20801;-4.479821051574646;48.39327976719916;0;0;0
20820;-4.480462077746734;48.40110152651102;1;1;1
20801;-4.48061546644197;48.415966848835446;1;1;1
20801;-4.475357977762594;48.395477954822546;1;1;1
20801;-4.477124737002918;48.408912806256104;1;1;1
20810;-4.471623568277368;48.38555633941635;1;1;1
20810;-4.47229478551467;48.390457214006624;1;1;1
20801;-4.472189073393095;48.39057234187874;1;1;1
20820;-4.471416083215236;48.385623678350335;1;1;1
20810;-4.4749831850871145;48.4136932198036;1;1;1
20810;-4.472727303843899;48.397966803280454;1;1;1
20810;-4.471938780911212;48.394338556780404;1;1;1
20820;-4.476532433733671;48.429120752018484;1;0;0
20801;-4.454697560990373;48.28137673896355;1;1;0
20815;-4.47256027206929;48.41383730793777;0;1;1
20810;-4.467399201999227;48.382949512208526;1;0;0
20815;-4.4777932944818915;48.45698286323743;0;1;1
20820;-4.477725971789707;48.45698711659084;1;1;1
20801;-4.420772214192693;48.05781060782605;1;1;0
20801;-4.477352654594115;48.45741735320254;1;1;1
20810;-4.468269869279069;48.403733925950455;1;1;1
20815;-4.468257694230062;48.40374373195543;0;1;1
20801;-4.468235205086473;48.40387167010385;1;1;1
20801;-4.4737192024623464;48.44757092214645;1;1;1
20801;-4.495683640452803;48.60663214420323;1;1;1
20810;-4.4955974816105995;48.60660144119554;1;1;0
20820;-4.464971689593402;48.40306562382556;1;1;1
20810;-4.464959514084035;48.40307542949689;0;1;0
20820;-4.462619192900066;48.39626472262662;1;1;1
20815;-4.462436576822989;48.39641180469094;0;1;1
20810;-4.461171726114419;48.39553372347339;1;1;1
20801;-4.461124302783756;48.39558190132222;1;1;1
20820;-4.4635740966866875;48.41498314134709;1;1;1
20810;-4.462451588005387;48.40748108914601;1;1;1
20801;-4.463097404485385;48.41506744569891;0;1;0
20815;-4.461048566538257;48.406873786610035;0;1;1
20810;-4.462854421287038;48.428900032325046;1;1;1
20801;-4.45929237870994;48.419807822562944;1;1;1
20810;-4.458762253444317;48.42190163526745;1;1;1
20801;-4.456239436021039;48.405984278370404;1;1;1
20820;-4.458319757456757;48.429285425993555;1;1;1
20801;-4.458226828074669;48.42930032165363;1;1;0
20815;-4.4575457117747845;48.43004812313869;0;1;1
20820;-4.448969201166765;48.40066801346234;1;1;1
20801;-4.447773472036582;48.392537927592834;1;1;1
20810;-4.447719858032934;48.39235153206437;1;1;1
20815;-4.447218811519318;48.39197644167703;0;1;1
20801;-4.447952233656384;48.401247178231884;1;1;1
20810;-4.446065509748106;48.400480414749836;1;1;1
20815;-4.446023885865383;48.40047399944276;0;1;1
20801;-4.360857539755797;47.80566789277085;1;1;1
20810;-4.451996479820495;48.4570013394886;1;1;1
20801;-4.451895132681866;48.45705290236379;1;1;0
20801;-4.442594957720659;48.42851365986898;0;1;0
20801;-4.3563659118444855;47.82436377487562;1;1;1
20820;-4.429975923503391;48.354555817114424;1;1;1
20820;-4.378257321756858;47.99315330910879;1;1;1
20810;-4.435882427849267;48.405133559198994;1;1;1
20801;-4.435402193837376;48.405001099803826;1;1;0
20820;-4.35111504024971;47.809725068062335;1;1;1
20810;-4.351049768892823;47.8097382125567;1;1;1
20815;-4.427225713842943;48.35639155390633;0;1;1
20810;-4.427149133878911;48.35623370545406;1;1;1
20801;-4.345384025133125;47.81320390401493;0;1;1
20820;-4.444684611714951;48.530942929033515;1;1;1
20801;-4.444701187728833;48.53105935370182;1;1;0
20801;-4.438293625028768;48.49854392881034;0;1;0
20801;-4.4218939161731;48.399027217342386;1;1;0
20801;-4.424791004068951;48.42235817611214;0;1;0
20820;-4.416850922191088;48.40702464511353;1;1;1
20801;-4.415298178704071;48.41197455387811;1;1;0
20801;-4.417411743019734;48.43870685693628;1;1;1
20820;-4.41573811699936;48.43839609820077;1;1;1
20810;-4.4157685465966106;48.43861105905211;1;1;1
20815;-4.415721338584102;48.438469439117945;0;1;0
20820;-4.422775380072708;48.50416170925424;1;1;1
20810;-4.422693244202448;48.50415781947491;1;1;1
20801;-4.422668830470428;48.504177420599774;1;1;1
20801;-4.4068042732759025;48.39758790891322;1;1;1
20801;-4.343048133014073;47.96051111295103;1;1;0
20810;-4.3535613241049855;48.08227380473615;1;1;1
20820;-4.35354545529573;48.08225672226725;1;1;1
20815;-4.3533240241382805;48.08221635312102;0;1;1
20801;-4.401375404953513;48.43429846851092;1;1;1
20801;-4.334988000290875;47.99864170896129;1;1;0
20820;-4.30848683658845;47.81645669753609;1;1;1
20810;-4.308422781428513;47.816478779820834;1;1;1
20820;-4.387690424845379;48.40995242774548;1;1;1
20810;-4.387371715273688;48.40980968843362;1;1;1
20801;-4.387335572757679;48.40993845103257;1;1;0
20801;-4.340549286779105;48.08966680108887;1;1;1
20810;-4.386450038264176;48.42156889298431;1;1;1
20815;-4.386444586837544;48.42172284487135;0;1;1
20820;-4.3863953784705325;48.42166266595931;1;1;1
20801;-4.335820330018486;48.08097872831339;1;1;1
20801;-4.374839210391836;48.37562243117718;1;1;1
20820;-4.328742358427419;48.0932324196706;0;1;0
20810;-4.346519294810819;48.227545681484074;1;1;0
20820;-4.34652465285978;48.22768089982152;1;1;1
20815;-4.34652465285978;48.22768089982152;0;1;1
20801;-4.346442599520289;48.22757757349738;1;1;1
20820;-4.327420038991421;48.09119106639814;1;1;1
20810;-4.32695695298915;48.09776304226779;1;1;0
20801;-4.326938598751261;48.097728036736015;1;1;1
20815;-4.308028082446889;47.96202167159285;0;1;0
20810;-4.307883242845888;47.961849940715815;1;1;1
20801;-4.324663429860272;48.08620252198149;0;1;0
20810;-4.365641484554422;48.38526821495643;1;1;1
20801;-4.365605305704557;48.38539697331598;1;0;0
20820;-4.365560796675718;48.38527324292453;1;1;0
20820;-4.283401527573193;47.795416821319094;1;1;1
20810;-4.283360396832945;47.795410346336446;1;1;1
20801;-4.2833640876568095;47.7954372321894;0;1;0
20810;-4.358133093460596;48.370718083263505;1;1;1
20820;-4.358054060110347;48.3708314366344;1;1;1
20815;-4.357948641389235;48.37075667663852;0;1;1
20820;-4.293751613648938;47.91734132481022;1;1;1
20815;-4.293739517959215;47.91735111611793;0;1;1
20810;-4.293684960935284;47.917345475326684;1;1;1
20820;-4.282384589611832;47.84019369475976;1;1;1
20810;-4.282384589611832;47.84019369475976;1;1;1
20820;-4.377931327105789;48.53114990205964;1;1;0
20801;-4.276844980785046;47.8063913479894;1;1;1
20810;-4.2823936475245175;47.85345239811385;1;1;0
20801;-4.279399793826693;47.83370918859151;1;1;0
20820;-4.270997102837982;47.805914711920096;1;1;0
20815;-4.2706295329347;47.80597373166127;0;1;1
20801;-4.359673316010541;48.45806093561362;1;1;1
20801;-4.299001035684391;48.085657425974084;1;1;1
20810;-4.29895347910274;48.08560615664506;1;1;0
20820;-4.298610480389245;48.085564200012904;1;1;1
20810;-4.359236731116182;48.53615175575072;1;1;0
20820;-4.268890410286671;47.898334639415886;1;1;1
20815;-4.268890410286671;47.898334639415886;0;1;1
20810;-4.268890410286671;47.898334639415886;1;1;1
20801;-4.269809341382756;47.91364202754647;1;1;0
20810;-4.278188523379634;47.98885793804356;1;1;0
20801;-4.3700152960557155;48.65334702346497;1;1;0
20820;-4.369857816807376;48.653004459670825;1;1;1
20810;-4.36945484523866;48.65304751926964;1;1;1
20820;-4.33056504192201;48.469724335840105;1;1;1
20810;-4.325723827249328;48.44483418784171;1;1;0
20820;-4.3236405357987655;48.43090438099793;1;1;0
20801;-4.242582421734341;47.860750029736984;0;1;1
20820;-4.335572226037352;48.57305152260996;1;1;1
20801;-4.335479929230776;48.572975919942536;1;1;1
20815;-4.309988674180368;48.391632265365985;0;1;1
20810;-4.308861216625708;48.389967186375;1;1;0
20801;-4.307569572886616;48.382547679760556;1;1;1
20810;-4.332997806100024;48.57129538738933;1;0;0
20810;-4.226117567964929;47.804712185671264;1;1;0
20801;-4.22608144624066;47.80484095063521;1;1;0
20801;-4.247102210842619;47.99542780682743;1;1;0
20810;-4.253366193391384;48.0426390759414;1;1;1
20815;-4.3263170877632655;48.57898970941513;0;1;1
20801;-4.32630861347897;48.57902636945483;1;1;0
20801;-4.287811301156492;48.32947405577221;1;1;0
20820;-4.287753830817707;48.329450496201;1;1;0
20815;-4.287741639357211;48.32946028418978;0;1;1
20810;-4.224699273924538;47.87723764626374;1;1;1
20801;-4.224661753799983;47.87725803740573;1;1;1
20820;-4.224543451483636;47.87757261748375;1;1;1
20801;-4.22232579457226;47.86337585231209;1;1;1
20801;-4.3186954003734375;48.56258418457814;1;1;0
20820;-4.245090879031167;48.03565838842154;1;1;0
20820;-4.303483675906024;48.53427807014146;1;1;0
20810;-4.302919169580277;48.53413215845513;1;1;0
20815;-4.302691298733096;48.53376675487371;0;1;1
20801;-4.302569915191666;48.5337742316718;1;1;0
20820;-4.2306612856038415;48.02090524321155;1;1;0
20815;-4.230554694440882;48.02111062035916;0;1;1
20820;-4.275843590219494;48.371105728237765;1;1;1
20820;-4.197506336417949;47.83360841560874;1;1;1
20810;-4.197392548085135;47.83356119344386;1;1;1
20801;-4.191515232015476;47.81061497161911;0;1;0
20810;-4.219372767791067;48.031151912789355;1;1;0
20810;-4.275839082904253;48.453106349407676;1;1;0
20801;-4.2691134838556755;48.42637061135008;1;1;1
20810;-4.292045590393337;48.60316107920468;1;1;0
20815;-4.291042209260978;48.60309623328245;0;1;0
20801;-4.265255814491688;48.44495680687596;1;1;0
20820;-4.26596868703527;48.46253024647671;1;1;0
20801;-4.218653537810788;48.129782979857566;1;1;1
20801;-4.264921619419759;48.465557779133874;1;1;0
20820;-4.218575792769344;48.129905220164154;1;1;1
20815;-4.2185624074525245;48.12990604162716;0;1;1
20820;-4.206926839514803;48.04795638827512;1;1;0
20810;-4.262540585517257;48.45926235135857;1;1;1
20815;-4.262224401669325;48.45913719770355;0;1;1
20815;-4.24694582076152;48.36305138417368;0;1;1
20810;-4.24671555180329;48.3642310058609;1;1;0
20801;-4.246424147456385;48.36467351553916;1;1;1
20815;-4.171984951246028;47.82651858500166;0;1;1
20810;-4.193031393610842;47.983944449610284;1;1;1
20801;-4.193046154888603;47.98425079096817;1;1;0
20820;-4.1929233833905775;47.98394203681468;1;1;1
20815;-4.192911253892781;47.983951817330706;0;1;1
20820;-4.171585757480614;47.8269407094087;1;1;1
20801;-4.171553077147435;47.826897527205375;1;1;1
20810;-4.2597456308820245;48.48319392109249;1;1;1
20801;-4.2597213572723485;48.48331285338838;1;0;0
20820;-4.259723841989346;48.483330769469134;1;1;1
20815;-4.259723841989346;48.483330769469134;0;1;0
20820;-4.183944067452561;47.94559849340545;1;1;1
20810;-4.183883455475935;47.94564739250458;1;1;1
20810;-4.1665639767906;47.88242909523909;1;1;1
20801;-4.166190869725903;47.88215371727129;1;1;1
20815;-4.166171483485743;47.88210971931707;0;1;1
20820;-4.1661194151104235;47.88222135016699;1;1;1
20820;-4.22666844167829;48.32971715712821;1;0;0
20810;-4.226363963275022;48.329473778609334;1;1;1
20820;-4.190830023850676;48.090265422889104;1;1;1
20815;-4.19083124530809;48.09027438418504;0;1;1
20810;-4.235577422008245;48.43113663432239;1;0;0
20820;-4.235771510022049;48.44414312972086;1;1;0
20815;-4.235690719400666;48.444148069065214;0;1;0
20801;-4.235667501180727;48.4441765911929;1;1;1
20801;-4.166348524988129;47.959480473180676;1;1;0
20801;-4.17914590600855;48.06664580570176;1;1;0
20801;-4.212891257749324;48.317305456390486;1;1;0
20801;-4.147559838865881;47.94319628418177;1;1;0
20820;-4.196902571526091;48.30728598841062;1;1;0
20815;-4.196116224514469;48.307279722840576;0;1;1
20815;-4.133516304891469;47.876540526456836;0;1;1
20801;-4.13350780959756;47.876577190742196;1;1;1
20820;-4.145027829762573;47.96667343525947;1;1;1
20815;-4.145027829762573;47.96667343525947;0;1;1
20810;-4.144572880342395;47.966692120797696;1;1;1
20801;-4.1337437258341625;47.97239361359897;1;1;0
20815;-4.219299558061009;48.62020744363757;0;1;0
20801;-4.219291002174445;48.62024409478517;1;1;1
20820;-4.1335150633771205;47.996533759299076;1;1;1
20810;-4.133449508255738;47.996546781114475;1;1;1
20815;-4.1333718572882345;47.99647017858778;0;1;0
20801;-4.13334998973369;47.99650765203816;1;1;1
20820;-4.1632276593566475;48.21962925254738;1;1;0
20820;-4.12911194231351;47.984250439246765;1;1;1
20810;-4.12911194231351;47.984250439246765;1;1;1
20801;-4.132958609163864;48.02752451788184;1;1;0
20801;-4.125784519853134;47.985826092897526;1;1;1
20810;-4.109572483281968;47.877680997278986;1;1;1
20820;-4.10953251298711;47.87768342493865;1;1;1
20801;-4.109511880365132;47.87772986000389;1;1;1
20801;-4.147711946401272;48.185922635450794;0;1;0
20820;-4.136967959383447;48.1191092888596;1;1;1
20810;-4.136967959383447;48.1191092888596;1;1;1
20815;-4.1369557885313535;48.11911906274768;0;1;1
20801;-4.115883829854736;47.990267348758096;1;1;1
20820;-4.15333846278884;48.27388687972294;1;1;1
20810;-4.15333846278884;48.27388687972294;1;1;1
20801;-4.153118808737823;48.27396344101922;1;1;0
20810;-4.114045521123118;47.9940112330741;1;0;0
20815;-4.1511076759948375;48.27499785810174;0;1;1
20820;-4.196924121312096;48.61987631335951;1;1;1
20810;-4.196890997679025;48.61993251573759;1;1;1
20801;-4.180515073995343;48.50195272558155;1;0;0
20801;-4.109830546571532;47.99600160470327;1;1;1
20820;-4.109726316139616;47.995827206302025;1;1;1
20801;-4.110351464994447;48.007779702447046;1;1;1
20801;-4.105039759952569;47.990906548430225;1;1;0
20820;-4.103143732585492;47.98180493174483;1;1;1
20810;-4.102944900377899;47.981627222008235;1;1;1
20801;-4.102921813346267;47.981655727322575;1;1;1
20810;-4.103677410599238;47.992588367829235;1;1;1
20820;-4.103671285006153;47.99264295286896;1;1;1
20801;-4.099426896608912;47.99571899301706;1;1;1
20801;-4.094838388450826;47.9676516942066;1;0;0
20801;-4.173104853932828;48.54487467836194;1;1;0
20810;-4.100243492515273;48.00921393776293;1;0;0
20820;-4.172950324443285;48.544938221932895;1;1;0
20810;-4.172950324443285;48.544938221932895;1;1;0
20815;-4.172938061464352;48.54494799647394;0;1;0
20815;-4.125545210747578;48.19943576155881;0;1;1
20820;-4.099574472038932;48.00814303940203;1;1;1
20810;-4.0995100983383885;48.00816500492013;1;1;1
20801;-4.094655878105129;47.974114239605896;0;0;0
20820;-4.093986916606216;47.974443848699934;1;1;1
20820;-4.187228416578381;48.66166868390787;1;1;1
20820;-4.124175210755641;48.19999746564094;1;1;1
20801;-4.187122710061423;48.66169313948442;1;1;1
20810;-4.0949587591851;47.986601281124194;1;1;1
20810;-4.123601570628679;48.19955332134573;1;1;1
20815;-4.186669083886701;48.661666373295695;0;1;1
20820;-4.094717357806479;47.98650745397372;1;1;1
20801;-4.092330960796527;47.98778121130843;1;1;0
20801;-4.094383144700138;48.00688480502192;1;1;0
20815;-4.091693701754133;47.98784684439956;0;1;1
20810;-4.0823854119097245;47.92509624459194;1;1;1
20815;-4.082224326881644;47.92499755153343;0;1;1
20820;-4.081955837863415;47.92540232155623;1;1;1
20820;-4.088155833149112;47.987861884646755;1;1;1
20810;-4.088102692215258;47.98766631335518;1;1;1
20801;-4.087808158565859;47.98737690073651;1;0;0
20801;-4.088942673393273;48.01430639103175;1;1;0
20815;-4.086438345407485;48.018225373742325;0;1;1
20801;-4.0807442671532765;47.99754370798787;0;1;0
20810;-4.147045366287867;48.48967705847906;1;0;0
20820;-4.077031971411218;47.97484474274311;1;1;1
20801;-4.077011272521588;47.97489116934845;1;1;0
20810;-4.076986974925511;47.97491070656096;1;1;1
20815;-4.076944530749759;47.97489519672118;0;1;0
20801;-4.11706493835041;48.277255324632414;1;1;0
20820;-4.076673256337819;47.97769450056968;1;0;0
20810;-4.078715054432918;47.997268591865;1;1;1
20820;-4.078722256566711;47.99732236978086;1;1;1
20815;-4.078722256566711;47.99732236978086;0;1;1
20801;-4.077749652615536;48.00624474115791;1;1;1
20820;-4.110287888798758;48.255268450043914;1;1;1
20810;-4.110162273192598;48.25523988746244;1;1;1
20801;-4.072744634068789;47.98262990274552;1;1;1
20810;-4.072613621081551;47.98185172020229;1;1;1
20820;-4.072496029100421;47.98177749173077;1;1;1
20801;-4.145105830872594;48.522456759501765;0;0;1
20810;-4.077751447087053;48.03923232703971;1;1;1
20820;-4.077753849372901;48.03925025255265;1;1;1
20820;-4.05857154074969;47.911344378136214;1;1;1
20801;-4.0695447721794675;47.99473140439453;1;1;1
20810;-4.058364381038236;47.9113026472021;1;1;1
20801;-4.058284197072345;47.911406871278665;1;1;0
20801;-4.100109402468383;48.229176799651306;1;1;0
20810;-4.157130358980053;48.65774041654724;1;1;1
20820;-4.156947215295165;48.65749855268587;1;1;1
20801;-4.093630620115455;48.201380046740915;1;1;1
20820;-4.1327894016010465;48.50193560265096;1;1;0
20810;-4.1327894016010465;48.50193560265096;0;1;0
20815;-4.132777141192186;48.501945373383506;0;1;0
20801;-4.132767323030181;48.50197306256577;0;1;0
20801;-4.069255631704521;48.040177771461465;1;1;0
20815;-4.068895115738938;48.04000070258794;0;1;1
20801;-4.084042893658418;48.160859685842034;1;1;0
20801;-4.058679668559237;47.98322413865471;1;1;1
20810;-4.092280707060827;48.26408588314074;0;1;0
20801;-4.048812132288162;47.98441382806704;1;1;1
20820;-4.129155275068144;48.58301234282448;1;1;1
20810;-4.129155275068144;48.58301234282448;1;1;1
20801;-4.049219124385603;48.00593811844372;1;1;0
20820;-4.0490237633029915;48.00588660792962;1;1;1
20815;-4.049010406717014;48.00588741021463;0;1;1
20810;-4.0489569803690575;48.00589061933952;1;1;1
20801;-4.046331203391686;47.99831431153891;1;1;0
20815;-4.080271219955376;48.25638789751024;0;1;1
20801;-4.07850120268271;48.25399178043423;1;1;1
20801;-4.103712719570772;48.44964013276965;1;1;1
20820;-4.068782881164566;48.209061997684344;1;1;1
20810;-4.068782881164566;48.209061997684344;1;1;1
20820;-4.024555944215065;47.89047540487421;1;1;1
20815;-4.024452954974105;47.89000270488887;0;1;1
20810;-4.024020953609065;47.890290648142816;1;1;1
20820;-4.1180552854452195;48.60055921767134;1;1;1
20810;-4.1180552854452195;48.60055921767134;1;1;1
20815;-4.117687916974054;48.60086122887861;0;1;1
20810;-4.032233202077219;47.98290617305471;1;1;1
20820;-4.031812644947817;47.983184364697465;1;1;1
20815;-4.059996003906463;48.2127778281359;0;1;1
20801;-4.059987403432664;48.21281447913482;1;1;1
20801;-4.017224847896631;47.89253230673522;1;1;1
20820;-4.084260686372082;48.39937324056217;1;1;0
